s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0044708E+000, 3.2542055E+000, 3.2542055E+000, 3.2542055E+000, 2.0318700E+001, 2.0391477E+001, 2.0490641E+001, 2.0518975E+001, 2.0576619E+001, 2.1113552E+001, 2.1775412E+001, 2.0683394E+001
 1.0001343E+001, 7.6521324E+000, 7.6521324E+000, 7.6521324E+000, 3.9570140E+001, 3.9325442E+001, 3.7604932E+001, 3.6768386E+001, 3.2412876E+001, 2.2859289E+001, 2.4201353E+001, 2.1787936E+001
 1.5001012E+001, 1.2595665E+001, 1.2595665E+001, 1.2595665E+001, 8.5276219E+001, 8.0759556E+001, 7.6249665E+001, 6.4925339E+001, 5.0197002E+001, 2.8849108E+001, 2.5534730E+001, 2.3216765E+001
 2.0007696E+001, 1.7554676E+001, 1.7554676E+001, 1.7554676E+001, 1.2970462E+002, 1.3089955E+002, 1.3434654E+002, 1.1318042E+002, 3.8769963E+001, 2.9391870E+001, 2.8301434E+001, 2.5110682E+001
 2.5002449E+001, 2.2541841E+001, 2.2541841E+001, 2.2541841E+001, 1.7592262E+002, 1.7328085E+002, 1.6867943E+002, 1.6328262E+002, 9.0964513E+001, 3.7097150E+001, 3.3242522E+001, 2.8442770E+001
 3.0009033E+001, 2.7521593E+001, 2.7521593E+001, 2.7521593E+001, 2.5210419E+002, 2.4399567E+002, 2.3495503E+002, 2.2265933E+002, 7.7326292E+001, 5.1876698E+001, 4.1457515E+001, 3.3327636E+001
 3.5004898E+001, 3.2511874E+001, 3.2511874E+001, 3.2511874E+001, 3.1224354E+002, 3.0314719E+002, 2.9647980E+002, 2.5980752E+002, 1.0108954E+002, 5.0216260E+001, 4.3097451E+001, 3.3917516E+001
 4.0001827E+001, 3.7538527E+001, 3.7538527E+001, 3.7538527E+001, 3.6510112E+002, 3.6066430E+002, 3.6078948E+002, 3.3479771E+002, 1.2485965E+002, 5.6636053E+001, 4.7961799E+001, 3.8254571E+001
 4.5000591E+001, 4.2520535E+001, 4.2520535E+001, 4.2520535E+001, 3.9732404E+002, 3.8933062E+002, 3.8017445E+002, 3.5789537E+002, 1.7863170E+002, 6.3481716E+001, 5.4185455E+001, 4.5459672E+001
 5.0003937E+001, 4.7523795E+001, 4.7523795E+001, 4.7523795E+001, 4.1887051E+002, 4.1452438E+002, 4.1458661E+002, 4.0017277E+002, 1.8871782E+002, 7.1797810E+001, 6.1739475E+001, 5.2091621E+001
 5.5003685E+001, 5.2492332E+001, 5.2492332E+001, 5.2492332E+001, 4.8991996E+002, 4.9062589E+002, 4.7370479E+002, 4.1782507E+002, 1.7801594E+002, 7.2520636E+001, 5.9521780E+001, 5.1691723E+001
 6.0008026E+001, 5.7518867E+001, 5.7518867E+001, 5.7518867E+001, 4.9412015E+002, 4.9277617E+002, 4.7984086E+002, 4.4272862E+002, 2.2364302E+002, 7.3382364E+001, 6.3226813E+001, 5.3388391E+001
 6.5009888E+001, 6.2506237E+001, 6.2506237E+001, 6.2506237E+001, 4.9929557E+002, 4.9140779E+002, 4.7957065E+002, 4.5895893E+002, 2.6059571E+002, 9.2049240E+001, 7.0752055E+001, 6.1521850E+001
 7.0006996E+001, 6.7540188E+001, 6.7540188E+001, 6.7540188E+001, 4.7040022E+002, 4.6526859E+002, 4.6218885E+002, 4.5663191E+002, 3.4056937E+002, 7.6391005E+001, 7.4480066E+001, 6.2889013E+001
 7.5007492E+001, 7.2521334E+001, 7.2521334E+001, 7.2521334E+001, 4.9634586E+002, 4.8757098E+002, 4.8208859E+002, 4.7173935E+002, 3.2320304E+002, 9.5773874E+001, 8.4442882E+001, 6.8002945E+001
 8.0002319E+001, 7.7493011E+001, 7.7493011E+001, 7.7493011E+001, 5.0098454E+002, 4.9313795E+002, 4.8746106E+002, 4.8063475E+002, 3.4088255E+002, 9.8935553E+001, 7.5324178E+001, 6.2385062E+001
