s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8759393E-005, 0.0000000E+000, 0.0000000E+000
 5.0165629E+000, 1.3751263E+002, 4.8581863E+001, 7.1319536E+001, 4.8203496E+001, 2.8763088E-003
 1.0003090E+001, 3.1733384E+002, 1.1952578E+002, 1.6878023E+002, 1.4740517E+002, 6.7671446E-003
 1.5008431E+001, 5.2280795E+002, 2.1085523E+002, 2.5453105E+002, 2.7147699E+002, 1.1122521E-002
 2.0004696E+001, 7.3154795E+002, 3.1725783E+002, 3.0628119E+002, 4.1309149E+002, 1.5488019E-002
 2.5009499E+001, 9.4109696E+002, 4.2701050E+002, 3.6571193E+002, 5.5157894E+002, 1.9890282E-002
 3.0000559E+001, 1.1552557E+003, 5.6116426E+002, 3.9472009E+002, 7.2202143E+002, 2.4310521E-002
 3.5008953E+001, 1.3660916E+003, 7.1276686E+002, 3.9457153E+002, 9.0124624E+002, 2.8698597E-002
 4.0004951E+001, 1.5599818E+003, 8.6061801E+002, 4.0815780E+002, 1.0753691E+003, 3.2896640E-002
 4.5000092E+001, 1.6930233E+003, 9.8631601E+002, 3.7937898E+002, 1.2237901E+003, 3.5101032E-002
 5.0006695E+001, 1.7668929E+003, 1.0658444E+003, 3.5916013E+002, 1.3195297E+003, 3.6797415E-002
 5.5005184E+001, 1.8513201E+003, 1.1459279E+003, 3.4745249E+002, 1.4063004E+003, 3.8519699E-002
 6.0004787E+001, 1.9497152E+003, 1.2349351E+003, 3.3780172E+002, 1.5125647E+003, 4.0222373E-002
 6.5000572E+001, 1.9683810E+003, 1.2795506E+003, 2.9173191E+002, 1.5714446E+003, 4.1190060E-002
 7.0008316E+001, 2.0271158E+003, 1.3402753E+003, 3.1515581E+002, 1.6266252E+003, 4.1419753E-002
 7.5009254E+001, 1.9780200E+003, 1.3373561E+003, 2.6153214E+002, 1.6217953E+003, 4.1649728E-002
 8.0006592E+001, 2.0282148E+003, 1.3817118E+003, 2.6916249E+002, 1.6718781E+003, 4.1880499E-002
 8.5000603E+001, 2.0060670E+003, 1.3671840E+003, 2.6632599E+002, 1.6503276E+003, 4.2111803E-002
 9.0004761E+001, 2.0383184E+003, 1.4022173E+003, 2.5135459E+002, 1.7102799E+003, 4.2341249E-002
 9.5002113E+001, 2.0460597E+003, 1.3990561E+003, 2.7396915E+002, 1.6888282E+003, 4.2570307E-002
 1.0000356E+002, 2.0219495E+003, 1.4179664E+003, 2.3265146E+002, 1.7157638E+003, 4.2800617E-002
 1.0500380E+002, 1.9996060E+003, 1.3863889E+003, 2.4626184E+002, 1.6724257E+003, 4.3031047E-002
