Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.83908E+02, 0.81237E+02, 0.84362E+02
 0.10000E+00, 0.83382E+02, 0.81186E+02, 0.83600E+02
 0.20000E+00, 0.81201E+02, 0.81022E+02, 0.82186E+02
 0.30000E+00, 0.78417E+02, 0.80670E+02, 0.81406E+02
 0.40000E+00, 0.77528E+02, 0.81078E+02, 0.81932E+02
 0.50000E+00, 0.80987E+02, 0.82981E+02, 0.83466E+02
 0.60000E+00, 0.87779E+02, 0.87443E+02, 0.87352E+02
 0.70000E+00, 0.95320E+02, 0.95006E+02, 0.96485E+02
 0.80000E+00, 0.10532E+03, 0.10619E+03, 0.11222E+03
 0.90000E+00, 0.12253E+03, 0.12554E+03, 0.13378E+03
 0.10000E+01, 0.15754E+03, 0.16117E+03, 0.16896E+03
 0.11000E+01, 0.20667E+03, 0.20297E+03, 0.21279E+03
 0.12000E+01, 0.25765E+03, 0.24561E+03, 0.25929E+03
 0.13000E+01, 0.31309E+03, 0.30209E+03, 0.31296E+03
 0.14000E+01, 0.37579E+03, 0.37916E+03, 0.37179E+03
 0.15000E+01, 0.45052E+03, 0.46913E+03, 0.44348E+03
 0.16000E+01, 0.54623E+03, 0.54978E+03, 0.52923E+03
 0.17000E+01, 0.63529E+03, 0.61015E+03, 0.61203E+03
 0.18000E+01, 0.68649E+03, 0.65549E+03, 0.67762E+03
 0.19000E+01, 0.71636E+03, 0.68370E+03, 0.72110E+03
 0.20000E+01, 0.74255E+03, 0.69711E+03, 0.74087E+03
 0.21000E+01, 0.75772E+03, 0.70829E+03, 0.74612E+03
 0.22000E+01, 0.76061E+03, 0.71872E+03, 0.75085E+03
 0.23000E+01, 0.76107E+03, 0.72923E+03, 0.75950E+03
 0.24000E+01, 0.76515E+03, 0.74158E+03, 0.77033E+03
 0.25000E+01, 0.78030E+03, 0.75737E+03, 0.78936E+03
 0.26000E+01, 0.81229E+03, 0.78514E+03, 0.83119E+03
 0.27000E+01, 0.89023E+03, 0.86099E+03, 0.91731E+03
 0.28000E+01, 0.94764E+03, 0.91839E+03, 0.97478E+03
