Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.46216E+02, 0.59368E+02, 0.91916E+02
 0.10000E+00, 0.47169E+02, 0.59978E+02, 0.91128E+02
 0.20000E+00, 0.48212E+02, 0.61819E+02, 0.90575E+02
 0.30000E+00, 0.48529E+02, 0.63999E+02, 0.91659E+02
 0.40000E+00, 0.49294E+02, 0.66136E+02, 0.94575E+02
 0.50000E+00, 0.51305E+02, 0.69093E+02, 0.10010E+03
 0.60000E+00, 0.55108E+02, 0.74072E+02, 0.10741E+03
 0.70000E+00, 0.60442E+02, 0.82561E+02, 0.11601E+03
 0.80000E+00, 0.67952E+02, 0.93418E+02, 0.13038E+03
 0.90000E+00, 0.79109E+02, 0.10631E+03, 0.15299E+03
 0.10000E+01, 0.97082E+02, 0.12845E+03, 0.18576E+03
 0.11000E+01, 0.12373E+03, 0.16514E+03, 0.23081E+03
 0.12000E+01, 0.15969E+03, 0.20912E+03, 0.28024E+03
 0.13000E+01, 0.21239E+03, 0.26610E+03, 0.33444E+03
 0.14000E+01, 0.28141E+03, 0.34334E+03, 0.40524E+03
 0.15000E+01, 0.35810E+03, 0.42447E+03, 0.49993E+03
 0.16000E+01, 0.42750E+03, 0.49409E+03, 0.60641E+03
 0.17000E+01, 0.47280E+03, 0.55184E+03, 0.70724E+03
 0.18000E+01, 0.49591E+03, 0.60035E+03, 0.77967E+03
 0.19000E+01, 0.50420E+03, 0.63313E+03, 0.81073E+03
 0.20000E+01, 0.50654E+03, 0.65328E+03, 0.82272E+03
 0.21000E+01, 0.50894E+03, 0.66914E+03, 0.83147E+03
 0.22000E+01, 0.51053E+03, 0.68216E+03, 0.84357E+03
 0.23000E+01, 0.51156E+03, 0.69577E+03, 0.85986E+03
 0.24000E+01, 0.51180E+03, 0.70793E+03, 0.87583E+03
 0.25000E+01, 0.51226E+03, 0.71578E+03, 0.88948E+03
 0.26000E+01, 0.51552E+03, 0.72983E+03, 0.91367E+03
 0.27000E+01, 0.53879E+03, 0.78726E+03, 0.96949E+03
 0.28000E+01, 0.55935E+03, 0.83382E+03, 0.10067E+04
