s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 0.0000000E+000,-4.0657581E-020,-2.1590777E-003, 1.8089887E-005, 1.1984476E+000
 5.9292704E-001, 3.2953547E-003, 1.1048900E-003, 5.1169410E-005, 1.1984476E+000
 1.1858541E+000, 8.2299420E-003, 5.9643571E-003, 4.5915583E-005, 1.1984476E+000
 1.5811388E+000, 1.2334493E-002, 9.9761793E-003, 4.3679712E-005, 1.1984476E+000
 2.1740658E+000, 1.6434481E-002, 1.3938692E-002, 4.4100963E-005, 1.1984476E+000
 2.5693505E+000, 2.0532853E-002, 1.7855921E-002, 4.6414154E-005, 1.1984476E+000
 3.1622777E+000, 2.4629577E-002, 2.1716467E-002, 4.8532464E-005, 1.1984476E+000
 3.5575624E+000, 2.8725205E-002, 2.5519591E-002, 4.8220022E-005, 1.1984476E+000
 4.1504893E+000, 3.2819624E-002, 2.9248314E-002, 4.2627265E-005, 1.1984476E+000
 4.5457740E+000, 3.6912900E-002, 3.2905978E-002, 3.1265195E-005, 1.1984476E+000
 5.1387010E+000, 4.1004746E-002, 3.6479807E-002, 1.9297528E-005, 1.1984476E+000
 5.5339861E+000, 4.5095242E-002, 3.9984634E-002, 1.8089887E-005, 1.1984476E+000
 6.1269131E+000, 4.9184062E-002, 4.3425018E-002, 1.8089887E-005, 1.1984476E+000
 6.5221977E+000, 5.3271302E-002, 4.6829090E-002, 1.8089887E-005, 1.1984476E+000
 7.1151247E+000, 5.7356615E-002, 5.0228445E-002, 1.8089887E-005, 1.1984476E+000
 7.5104094E+000, 6.1440144E-002, 5.3668379E-002, 1.8089887E-005, 1.1984476E+000
 8.1033363E+000, 6.5521574E-002, 5.7221695E-002, 1.8089887E-005, 1.1984476E+000
 8.6962633E+000, 7.0416769E-002, 6.1728594E-002, 1.8089887E-005, 1.1984476E+000
 9.0915480E+000, 7.4494033E-002, 6.5778009E-002, 1.8089887E-005, 1.1984476E+000
 9.6844749E+000, 7.8569275E-002, 7.0215605E-002, 1.8089887E-005, 1.1984476E+000
 1.0079760E+001, 8.2642729E-002, 7.5161220E-002, 3.0560688E-004, 1.1984476E+000
