s,Pa
FDS Time,"Pressure"
 0.0000000E+000,-4.3749339E-005
 3.5355338E-001, 3.4692723E+000
 6.1871845E-001, 1.9717773E+001
 9.7227180E-001, 9.6746954E+001
 1.2083516E+000, 3.2711010E+002
 1.5110203E+000, 8.8609776E+002
 1.8083026E+000, 1.4945180E+003
 2.1102073E+000, 1.9877795E+003
 2.4054720E+000, 2.4658043E+003
 2.7135746E+000, 2.9454528E+003
 3.0101233E+000, 3.4161099E+003
 3.3066719E+000, 3.8704941E+003
 3.6032202E+000, 4.3116400E+003
 3.9138904E+000, 4.7604700E+003
 4.2104387E+000, 5.2057253E+003
 4.5069876E+000, 5.6367202E+003
 4.8035359E+000, 6.0645281E+003
 5.1000848E+000, 6.4870138E+003
 5.4107547E+000, 6.9112192E+003
 5.7073030E+000, 7.3264354E+003
 6.0038519E+000, 7.7213776E+003
 6.3004003E+000, 8.1161491E+003
 6.6110702E+000, 8.5146847E+003
 6.9076190E+000, 8.9027650E+003
 7.2041674E+000, 9.2805375E+003
 7.5077767E+000, 9.6554696E+003
 7.8029132E+000, 1.0026032E+004
 8.1135836E+000, 1.0383796E+004
 8.4005604E+000, 1.0742265E+004
 8.7075472E+000, 1.1080918E+004
 9.0005808E+000, 1.1425707E+004
 9.3075686E+000, 1.1768946E+004
 9.6006012E+000, 1.2106246E+004
 9.9047985E+000, 1.2432324E+004
 1.0211785E+001, 1.2768162E+004
 1.0501888E+001, 1.3068358E+004
 1.0802375E+001, 1.3396127E+004
 1.1105749E+001, 1.3713269E+004
 1.1409124E+001, 1.4024474E+004
 1.1712499E+001, 1.4320720E+004
 1.2000705E+001, 1.4609491E+004
 1.2304080E+001, 1.4904527E+004
 1.2607454E+001, 1.5200426E+004
 1.2910830E+001, 1.5477940E+004
 1.3202069E+001, 1.5750929E+004
 1.3502410E+001, 1.6024272E+004
 1.3802752E+001, 1.6268499E+004
 1.4103092E+001, 1.6519927E+004
 1.4403433E+001, 1.6775192E+004
 1.4703774E+001, 1.7032344E+004
 1.5004115E+001, 1.7284168E+004
 1.5304457E+001, 1.7521671E+004
 1.5604797E+001, 1.7755027E+004
 1.5905138E+001, 1.7983193E+004
 1.6205479E+001, 1.8208921E+004
 1.6505821E+001, 1.8435057E+004
 1.6806162E+001, 1.8657352E+004
 1.7106503E+001, 1.8872142E+004
 1.7401777E+001, 1.9072018E+004
 1.7702023E+001, 1.9270963E+004
 1.8002270E+001, 1.9475016E+004
 1.8302517E+001, 1.9667927E+004
