s,Pa,Pa,Pa,s,s,s
FDS Time,"pres_1","pres_2","pres_3","door 1","door 2","door 3"
 0.0000000E+000,-3.0809301E-006,-1.9802292E-006,-7.6799746E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0412415E-001,-2.3468080E-005,-4.2856996E-005, 1.2436295E-004, 2.0412415E-001, 2.0412415E-001, 2.0412415E-001
 4.0824831E-001, 2.0149582E+002,-5.8256156E-004, 1.7145274E-003, 4.0824829E-001, 4.0824829E-001, 4.0824829E-001
 6.1237246E-001, 6.0399771E+002, 5.3102326E-004,-7.2403852E-004, 6.1237244E-001, 6.1237244E-001, 6.1237244E-001
 8.1649661E-001, 1.0068728E+003, 5.5452228E-004, 1.3605127E-004, 8.1649658E-001, 8.1649658E-001, 8.1649658E-001
 1.0206207E+000, 1.4096218E+003, 9.3834231E-004, 1.1960982E-003, 1.0206207E+000, 1.0206207E+000, 1.0206207E+000
 1.2247449E+000, 1.8123169E+003, 1.5535241E-003, 2.6239938E-003, 1.2247449E+000, 1.2247449E+000, 1.2247449E+000
 1.4288690E+000, 2.2149336E+003, 2.3778908E-003, 4.3245460E-003, 1.4288690E+000, 1.4288690E+000, 1.4288690E+000
 1.6329932E+000, 2.6174301E+003, 3.3077185E-003, 6.1698600E-003, 1.6329932E+000, 1.6329932E+000, 1.6329932E+000
 1.8371173E+000, 3.0198004E+003, 4.2514680E-003, 8.0475268E-003, 1.8371173E+000, 1.8371173E+000, 1.8371173E+000
 2.0412414E+000, 3.4220550E+003, 5.1583682E-003, 9.8845650E-003, 2.0412415E+000, 2.0412415E+000, 2.0412415E+000
 2.2453656E+000, 3.8241996E+003, 6.0155253E-003, 1.1646258E-002, 2.2453656E+000, 2.2453656E+000, 2.2453656E+000
 2.4494898E+000, 4.2262351E+003, 6.8337728E-003, 1.3324492E-002, 2.4494897E+000, 2.4494897E+000, 2.4494897E+000
 2.6536138E+000, 4.6281623E+003, 7.6310621E-003, 1.4925192E-002, 2.6536139E+000, 2.6536139E+000, 2.6536139E+000
 2.8577380E+000, 5.0299797E+003, 8.4215892E-003, 1.6460007E-002, 2.8577380E+000, 2.8577380E+000, 2.8577380E+000
 3.0618622E+000, 5.4316772E+003, 9.2124223E-003, 1.7942643E-002, 3.0618622E+000, 3.0618622E+000, 3.0618622E+000
 3.2659864E+000, 5.8332458E+003, 1.0004163E-002, 1.9387894E-002, 3.2659863E+000, 3.2659863E+000, 3.2659863E+000
 3.4701104E+000, 6.2346801E+003, 1.0795230E-002, 2.0811852E-002, 3.4701105E+000, 3.4701105E+000, 3.4701105E+000
 3.6742346E+000, 6.6359778E+003, 1.1583353E-002, 2.2230463E-002, 3.6742346E+000, 3.6742346E+000, 3.6742346E+000
 3.8783588E+000, 7.0371360E+003, 1.2367781E-002, 2.3657934E-002, 3.8783588E+000, 3.8783588E+000, 3.8783588E+000
 4.0824828E+000, 7.4381564E+003, 1.3148783E-002, 2.5104223E-002, 4.0824829E+000, 4.0824829E+000, 4.0824829E+000
 4.2866073E+000, 7.8390430E+003, 1.3927273E-002, 2.6573514E-002, 4.2866070E+000, 4.2866070E+000, 4.2866070E+000
 4.4907312E+000, 8.2397929E+003, 1.4703855E-002, 2.8063707E-002, 4.4907312E+000, 4.4907312E+000, 4.4907312E+000
 4.6948552E+000, 8.6404047E+003, 1.5478462E-002, 2.9567469E-002, 4.6948553E+000, 4.6948553E+000, 4.6948553E+000
 4.8989797E+000, 9.0408788E+003, 1.6250202E-002, 3.1074265E-002, 4.8989795E+000, 4.8989795E+000, 4.8989795E+000
 5.1031036E+000, 9.4412101E+003, 1.7018137E-002, 3.2573210E-002, 5.1031036E+000, 5.1031036E+000, 5.1031036E+000
 5.3072276E+000, 9.6402836E+003, 1.8268889E-002, 3.2604043E-002, 5.3072278E+000, 5.3072278E+000, 5.3072278E+000
 5.5113521E+000, 9.6375950E+003, 1.8043010E-002, 3.6308585E-002, 5.5113519E+000, 5.5113519E+000, 5.5113519E+000
 5.7154760E+000, 9.6348623E+003, 1.8834093E-002, 3.7008285E-002, 5.7154761E+000, 5.7154761E+000, 5.7154761E+000
 5.9196000E+000, 9.6321383E+003, 1.9329551E-002, 3.7547329E-002, 5.9196002E+000, 5.9196002E+000, 5.9196002E+000
 6.1237245E+000, 9.6294246E+003, 1.9607955E-002, 3.7743687E-002, 6.1237244E+000, 6.1237244E+000, 6.1237244E+000
 6.3278484E+000, 9.6267223E+003, 1.9673937E-002, 3.7675367E-002, 6.3278485E+000, 6.3278485E+000, 6.3278485E+000
 6.5319729E+000, 9.6240317E+003, 1.9614332E-002, 3.7454471E-002, 6.5319726E+000, 6.5319726E+000, 6.5319726E+000
 6.7360969E+000, 9.6213530E+003, 1.9513126E-002, 3.7183438E-002, 6.7360968E+000, 6.7360968E+000, 6.7360968E+000
 6.9402208E+000, 9.6186859E+003, 1.9423883E-002, 3.6931692E-002, 6.9402209E+000, 6.9402209E+000, 6.9402209E+000
 7.1443453E+000, 9.6160306E+003, 1.9366981E-002, 3.6734927E-002, 7.1443451E+000, 7.1443451E+000, 7.1443451E+000
 7.3484693E+000, 9.6133872E+003, 1.9340627E-002, 3.6604563E-002, 7.3484692E+000, 7.3484692E+000, 7.3484692E+000
 7.5525932E+000, 9.6107557E+003, 1.9334243E-002, 3.6538365E-002, 7.5525934E+000, 7.5525934E+000, 7.5525934E+000
 7.7567177E+000, 9.6081363E+003, 1.9337567E-002, 3.6527652E-002, 7.7567175E+000, 7.7567175E+000, 7.7567175E+000
 7.9608417E+000, 9.6055294E+003, 1.9344449E-002, 3.6560736E-002, 7.9608417E+000, 7.9608417E+000, 7.9608417E+000
 8.1649656E+000, 9.6029350E+003, 1.9352497E-002, 3.6624004E-002, 8.1649658E+000, 8.1649658E+000, 8.1649658E+000
 8.3690901E+000, 9.6003533E+003, 1.9361186E-002, 3.6702521E-002, 8.3690900E+000, 8.3690900E+000, 8.3690900E+000
 8.5732145E+000, 9.5977842E+003, 1.9370211E-002, 3.6781249E-002, 8.5732141E+000, 8.5732141E+000, 8.5732141E+000
 8.7773380E+000, 9.5952276E+003, 1.9378735E-002, 3.6846921E-002, 8.7773382E+000, 8.7773382E+000, 8.7773382E+000
 8.9814625E+000, 9.5926835E+003, 1.9385548E-002, 3.6890078E-002, 8.9814624E+000, 8.9814624E+000, 8.9814624E+000
 9.1855869E+000, 9.5901515E+003, 1.9389618E-002, 3.6906505E-002, 9.1855865E+000, 9.1855865E+000, 9.1855865E+000
 9.3897104E+000, 9.5876314E+003, 1.9390581E-002, 3.6897558E-002, 9.3897107E+000, 9.3897107E+000, 9.3897107E+000
 9.5938349E+000, 9.5851230E+003, 1.9388905E-002, 3.6869228E-002, 9.5938348E+000, 9.5938348E+000, 9.5938348E+000
 9.7979593E+000, 9.5826262E+003, 1.9385715E-002, 3.6830275E-002, 9.7979590E+000, 9.7979590E+000, 9.7979590E+000
 1.0002083E+001, 9.5801407E+003, 1.9382402E-002, 3.6789954E-002, 1.0002083E+001, 1.0002083E+001, 1.0002083E+001
 1.0206207E+001, 9.5781289E+003,-5.3332292E+000,-1.5707911E+000, 1.0206207E+001, 1.0206207E+001, 1.0206207E+001
 1.0410332E+001, 8.2761279E+003, 6.1651894E+002, 2.4430280E-001, 1.0410331E+001, 1.0410331E+001, 1.0410331E+001
 1.0614455E+001, 7.2409941E+003, 1.1149418E+003, 1.4398312E-001, 1.0614456E+001, 1.0614456E+001, 1.0614456E+001
 1.0818580E+001, 6.4167257E+003, 1.5176060E+003, 1.0428480E-001, 1.0818580E+001, 1.0818580E+001, 1.0818580E+001
 1.1022704E+001, 5.7595625E+003, 1.8423251E+003, 8.4764185E-002, 1.1022704E+001, 1.1022704E+001, 1.1022704E+001
 1.1226828E+001, 5.2352046E+003, 2.1037816E+003, 7.8782946E-002, 1.1226828E+001, 1.1226828E+001, 1.1226828E+001
 1.1430952E+001, 4.8166765E+003, 2.3139549E+003, 8.0373927E-002, 1.1430952E+001, 1.1430952E+001, 1.1430952E+001
 1.1635077E+001, 4.4826008E+003, 2.4826335E+003, 8.5303250E-002, 1.1635076E+001, 1.1635076E+001, 1.1635076E+001
 1.1839200E+001, 4.2159344E+003, 2.6178204E+003, 9.0809944E-002, 1.1839200E+001, 1.1839200E+001, 1.1839200E+001
 1.2043324E+001, 4.0030597E+003, 2.7260410E+003, 9.5338564E-002, 1.2043325E+001, 1.2043325E+001, 1.2043325E+001
 1.2247449E+001, 3.8330867E+003, 2.8125992E+003, 9.8242427E-002, 1.2247449E+001, 1.2247449E+001, 1.2247449E+001
 1.2451572E+001, 3.6973183E+003, 2.8817853E+003, 9.9480335E-002, 1.2451573E+001, 1.2451573E+001, 1.2451573E+001
 1.2655697E+001, 3.5888228E+003, 2.9370535E+003, 9.9315588E-002, 1.2655697E+001, 1.2655697E+001, 1.2655697E+001
 1.2859821E+001, 3.5020824E+003, 2.9811759E+003, 9.8120227E-002, 1.2859821E+001, 1.2859821E+001, 1.2859821E+001
 1.3063946E+001, 3.4327031E+003, 3.0163735E+003, 9.6240732E-002, 1.3063945E+001, 1.3063945E+001, 1.3063945E+001
 1.3268069E+001, 3.3771844E+003, 3.0444248E+003, 9.3913619E-002, 1.3268069E+001, 1.3268069E+001, 1.3268069E+001
 1.3472194E+001, 3.3327350E+003, 3.0667534E+003, 9.1233654E-002, 1.3472194E+001, 1.3472194E+001, 1.3472194E+001
 1.3676318E+001, 3.2971264E+003, 3.0844999E+003, 8.8163880E-002, 1.3676318E+001, 1.3676318E+001, 1.3676318E+001
 1.3880442E+001, 3.2685793E+003, 3.0985772E+003, 8.4571664E-002, 1.3880442E+001, 1.3880442E+001, 1.3880442E+001
 1.4084566E+001, 3.2456741E+003, 3.1097166E+003, 8.0276534E-002, 1.4084566E+001, 1.4084566E+001, 1.4084566E+001
 1.4288691E+001, 3.2272777E+003, 3.1185034E+003, 7.5103521E-002, 1.4288690E+001, 1.4288690E+001, 1.4288690E+001
 1.4492814E+001, 3.2124853E+003, 3.1254073E+003, 6.8930080E-002, 1.4492814E+001, 1.4492814E+001, 1.4492814E+001
 1.4696939E+001, 3.2005740E+003, 3.1308052E+003, 6.1712406E-002, 1.4696938E+001, 1.4696938E+001, 1.4696938E+001
 1.4901063E+001, 3.1909657E+003, 3.1350002E+003, 5.3495465E-002, 1.4901063E+001, 1.4901063E+001, 1.4901063E+001
 1.5105186E+001, 3.1831979E+003, 3.1382362E+003, 4.4411695E-002, 1.5105187E+001, 1.5105187E+001, 1.5105187E+001
 1.5309311E+001, 3.1772514E+003, 3.1420385E+003,-2.3519539E-001, 1.5309311E+001, 1.5309311E+001, 1.5309311E+001
 1.5513435E+001, 3.0115914E+003, 2.9822790E+003, 4.7046751E+002, 1.5513435E+001, 1.5513435E+001, 1.5513435E+001
 1.5717559E+001, 2.8799482E+003, 2.8562207E+003, 8.4734806E+002, 1.5717559E+001, 1.5717559E+001, 1.5717559E+001
