s,m/s
Time,"Ub"
 0.0000000E+000,-2.6182730E-019
 1.0825318E-001, 2.9083320E-002
 2.0978766E-001, 7.6827876E-002
 3.0773703E-001, 1.2079532E-001
 4.0612787E-001, 1.6369136E-001
 5.0589563E-001, 2.0624639E-001
 6.0195030E-001, 2.4745012E-001
 7.0145561E-001, 2.8759399E-001
 8.0224257E-001, 3.2813365E-001
 9.0108516E-001, 3.6780913E-001
 1.0001658E+000, 4.0686498E-001
 1.1028811E+000, 4.4616648E-001
 1.2018049E+000, 4.8386349E-001
 1.3001115E+000, 5.1744444E-001
 1.4009786E+000, 5.4648058E-001
 1.5026974E+000, 5.7183091E-001
 1.6007620E+000, 5.9665325E-001
 1.7017109E+000, 6.2247165E-001
 1.8004641E+000, 6.4387618E-001
 1.9018721E+000, 6.6231319E-001
 2.0006109E+000, 6.7965433E-001
 2.1018182E+000, 6.9610752E-001
 2.2005570E+000, 7.1273780E-001
 2.3017643E+000, 7.2880121E-001
 2.4005829E+000, 7.4390327E-001
 2.5000916E+000, 7.5878231E-001
 2.6017636E+000, 7.7368597E-001
 2.7006233E+000, 7.8794914E-001
 2.8005647E+000, 8.0395085E-001
 2.9005060E+000, 8.2196679E-001
 3.0020450E+000, 8.3724736E-001
 3.1009583E+000, 8.5053629E-001
 3.2014010E+000, 8.5961940E-001
 3.3007219E+000, 8.7114520E-001
 3.4009540E+000, 8.8893887E-001
 3.5011861E+000, 9.1098051E-001
 3.6014182E+000, 9.3229411E-001
 3.7016503E+000, 9.5356658E-001
 3.8018825E+000, 9.7247093E-001
 3.9001099E+000, 9.8708612E-001
 4.0008332E+000, 1.0042840E+000
 4.1007887E+000, 1.0227421E+000
 4.2003935E+000, 1.0375789E+000
 4.3017805E+000, 1.0473390E+000
 4.4010942E+000, 1.0547837E+000
 4.5000331E+000, 1.0581941E+000
 4.6008468E+000, 1.0617651E+000
 4.7001162E+000, 1.0609978E+000
 4.8002502E+000, 1.0636678E+000
 4.9008791E+000, 1.0680988E+000
 5.0004226E+000, 1.0615228E+000
 5.1001127E+000, 1.0491762E+000
 5.2008068E+000, 1.0378679E+000
 5.3015008E+000, 1.0332373E+000
 5.4005964E+000, 1.0381326E+000
 5.5006511E+000, 1.0399559E+000
 5.6011582E+000, 1.0422275E+000
 5.7009964E+000, 1.0342973E+000
 5.8004880E+000, 1.0309214E+000
 5.9016659E+000, 1.0317709E+000
 6.0011574E+000, 1.0370983E+000
 6.1009863E+000, 1.0421669E+000
 6.2007342E+000, 1.0440790E+000
 6.3014905E+000, 1.0349042E+000
 6.4012873E+000, 1.0233113E+000
