m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
umean-z,umean,vmean-z,vmean,wmean-z,wmean,urms-z,urms,vrms-z,vrms,wrms-z,wrms
 1.5000000E-002, 3.9006349E-001, 1.5000000E-002,-8.9792471E-003, 1.5000000E-002,-4.1899539E-002, 1.5000000E-002, 6.1759682E-002, 1.5000000E-002, 6.5764328E-002, 1.5000000E-002, 5.2533169E-002
 7.5625000E-002, 5.5995841E-001, 7.5625000E-002,-1.3864999E-002, 7.5625000E-002,-3.6441179E-002, 7.5625000E-002, 5.5749038E-002, 7.5625000E-002, 8.3910917E-002, 7.5625000E-002, 8.5123506E-002
 1.3625000E-001, 6.6980201E-001, 1.3625000E-001,-1.4499397E-002, 1.3625000E-001,-2.6896415E-002, 1.3625000E-001, 6.4675414E-002, 1.3625000E-001, 8.9023433E-002, 1.3625000E-001, 9.3083241E-002
 1.9687500E-001, 7.4845235E-001, 1.9687500E-001,-1.1287924E-002, 1.9687500E-001,-1.5013127E-002, 1.9687500E-001, 6.9838324E-002, 1.9687500E-001, 9.0550474E-002, 1.9687500E-001, 9.6576727E-002
 2.5750000E-001, 8.1265565E-001, 2.5750000E-001,-2.6669729E-003, 2.5750000E-001,-4.0732611E-003, 2.5750000E-001, 7.7623144E-002, 2.5750000E-001, 9.1981982E-002, 2.5750000E-001, 9.9271705E-002
 3.1812500E-001, 8.6816773E-001, 3.1812500E-001, 2.7556640E-003, 3.1812500E-001, 2.1326628E-003, 3.1812500E-001, 8.8023876E-002, 3.1812500E-001, 9.2557378E-002, 3.1812500E-001, 9.7687994E-002
 3.7875000E-001, 9.2072509E-001, 3.7875000E-001, 5.0422124E-003, 3.7875000E-001, 1.9198728E-003, 3.7875000E-001, 9.6285073E-002, 3.7875000E-001, 9.5187859E-002, 3.7875000E-001, 9.3490750E-002
 4.3937500E-001, 9.6848084E-001, 4.3937500E-001, 1.6285564E-003, 4.3937500E-001, 2.2921240E-004, 4.3937500E-001, 9.7669665E-002, 4.3937500E-001, 9.0943555E-002, 4.3937500E-001, 9.2537119E-002
 5.0000000E-001, 1.0100915E+000, 5.0000000E-001,-3.7147019E-003, 5.0000000E-001,-9.6992169E-004, 5.0000000E-001, 9.5967149E-002, 5.0000000E-001, 8.6498003E-002, 5.0000000E-001, 9.6519448E-002
 5.6062500E-001, 1.0429093E+000, 5.6062500E-001,-6.7542903E-003, 5.6062500E-001, 4.8044333E-004, 5.6062500E-001, 9.2697879E-002, 5.6062500E-001, 8.7431850E-002, 5.6062500E-001, 1.0015256E-001
 6.2125000E-001, 1.0714553E+000, 6.2125000E-001,-3.6841943E-003, 6.2125000E-001, 1.2776646E-004, 6.2125000E-001, 9.0271011E-002, 6.2125000E-001, 9.2579251E-002, 6.2125000E-001, 1.0352630E-001
 6.8187500E-001, 1.0966666E+000, 6.8187500E-001, 3.7872308E-003, 6.8187500E-001,-3.8767570E-003, 6.8187500E-001, 9.1942700E-002, 6.8187500E-001, 9.2083101E-002, 6.8187500E-001, 1.0427519E-001
 7.4250000E-001, 1.1207155E+000, 7.4250000E-001, 1.0385450E-002, 7.4250000E-001,-9.3518797E-003, 7.4250000E-001, 9.5272973E-002, 7.4250000E-001, 8.9411005E-002, 7.4250000E-001, 1.0214263E-001
 8.0312500E-001, 1.1421832E+000, 8.0312500E-001, 1.2629115E-002, 8.0312500E-001,-1.2896258E-002, 8.0312500E-001, 1.0132221E-001, 8.0312500E-001, 9.0328614E-002, 8.0312500E-001, 9.7439394E-002
 8.6375000E-001, 1.1629997E+000, 8.6375000E-001, 1.2058218E-002, 8.6375000E-001,-1.1817408E-002, 8.6375000E-001, 1.0529232E-001, 8.6375000E-001, 9.3358517E-002, 8.6375000E-001, 8.9590997E-002
 9.2437500E-001, 1.1849128E+000, 9.2437500E-001, 1.1309115E-002, 9.2437500E-001,-8.8645705E-003, 9.2437500E-001, 1.0820266E-001, 9.2437500E-001, 8.9993977E-002, 9.2437500E-001, 7.6676920E-002
 9.8500000E-001, 1.2064903E+000, 9.8500000E-001, 8.6374134E-003, 9.8500000E-001, 0.0000000E+000, 9.8500000E-001, 1.1093289E-001, 9.8500000E-001, 7.6762853E-002, 9.8500000E-001, 0.0000000E+000
